code,name,listedDate,business,website,industry,sector,issuePrice,regCapital,establishDate,chairman,regAddress,officeAddress,tel,email
sz000017,深中华A,1992-03-31,自行车及锂电池材料业务、珠宝黄金业务,http://www.szcbc.com/,纺织服饰,纺织服饰,3.75,68918.4933,1984-08-24 00:00:00 +0800 CST,王胜洪,深圳市罗湖区布心路3008号,深圳市罗湖区翠竹街道贝丽北路89号水贝金座大厦8楼,0755-28181688,dmc@szcbc.com
sz000019,深粮控股,1992-10-12,批发零售业务、食品加工制造业务、租赁及商务服务业务。,http://www.slkg1949.com,农林牧渔,农林牧渔,2.10,115253.5254,1981-07-30 00:00:00 +0800 CST,王志楷,广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层,深圳市福田区福虹路9号世贸广场A座13楼,0755-83778690,szch@slkg1949.com
sz000020,深华发Ａ,1992-04-28,物业经营、液晶显示器整机组装业务、注塑件业务、泡沫件业务等。,http://www.hwafa.com.cn,电子,电子,1.90,28316.1227,1981-12-08 00:00:00 +0800 CST,李中秋,深圳市福田区华发北路411栋,深圳市福田区华发北路411栋华发大厦东座六楼,0755-86360201,huafainvestor@126.com.cn
sz000021,深科技,1994-02-02,硬盘磁头、电子产品先进制造、计量系统、支付终端产品、数字家庭产品及LED的研发生产。,http://www.kaifa.cn,电子,电子,4.65,157427.258,1985-07-04 00:00:00 +0800 CST,韩宗远,深圳市福田区彩田路7006号,深圳市福田区彩田路7006号,0755-83200095,stock@kaifa.cn
sz000025,特  力Ａ,1993-06-21,珠宝服务业务;商业运营管理;汽车销售、检测、维修及配件销售。,http://www.tellus.cn,综合,综合,4.18,43105.832,1986-11-10 00:00:00 +0800 CST,富春龙,深圳市罗湖区水贝二路五十六号特力大厦三楼,深圳市罗湖区水贝二路五十六号特力大厦三楼、四楼,0755-83989390,ir@tellus.cn
sz000026,飞亚达,1993-06-03,手表品牌管理及名表零售业务。,http://www.fiytagroup.com,纺织服饰,纺织服饰,3.60,40576.4007,1990-03-30 00:00:00 +0800 CST,周进群,深圳市南山区高新南一道飞亚达科技大厦,深圳市南山区高新南一道飞亚达科技大厦20楼,0755-86013669,investor@fiyta.com.cn
sz000027,深圳能源,1993-09-03,"从事的主要业务是各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、废水处理和城市燃气供应等。",http://www.sec.com.cn,公用事业,公用事业,3.50,475738.9916,1993-08-21 00:00:00 +0800 CST,李英峰,深圳市福田区福田街道金田路2026号能源大厦北塔楼9层、29-31层、34-41层,深圳市福田区福田街道金田路2026号能源大厦北塔楼9层、29-31层、34-41层,0755-83684138,ir@sec.com.cn
sz000028,国药一致,1993-08-09,包括医药分销和医药零售。,http://www.szaccord.com.cn,医药生物,医药生物,3.50,55656.5077,1986-08-02 00:00:00 +0900 CDT,吴壹建,广东省深圳市福田区园岭街道八卦四路15号一致药业大厦,广东省深圳市福田区园岭街道八卦四路15号一致药业大厦,0755-25875152,gyyz0028@sinopharm.com
sz000029,深深房Ａ,1993-09-15,房地产开发及商品房销售、物业租赁及管理、商品零售及贸易、酒店业务、设备安装及维修、建筑、室内装修等业务。,http://www.sfjt.com.cn,房地产,房地产,3.80,101166.00,1986-07-19 00:00:00 +0900 CDT,陈明,深圳市罗湖区南湖街道嘉北社区人民南路3005号深房广场A46层-A48层B46层-B48层,深圳市人民南路3005号深房广场46-48层,86-755-25108897,spg@sfjt.sihc.com.cn
sz000030,富奥股份,1993-09-29,汽车零部件及相关产品的研发、设计、制造、销售及售后服务。,http://www.fawer.com.cn,汽车,汽车,4.55,171981.0845,1988-10-06 00:00:00 +0800 CST,李俊新,吉林省长春汽车经济技术开发区东风南街777号,吉林省长春市高新区学海街701号,0431-85122797,000030@fawer.com.cn
sz000031,大悦城,1993-10-08,商品房开发与销售、物业租赁、来料加工业。商业地产。,http://www.grandjoy.com/,房地产,房地产,4.38,428631.3339,1993-10-08 00:00:00 +0800 CST,姚长林,深圳市宝安区新安街道3区龙井二路3号中粮地产集团中心第1层101室,北京市朝阳区朝阳门南大街8号中粮福临门大厦13层,86-010-85619759,000031@cofco.com
sz000032,深桑达Ａ,1993-10-28,"物流运输、仓储业务,以铁路GSM-R终端、商用及税控收款机、电源及LED照明为主的电子制造业务,商贸服务业务,房地产业务。",http://www.sedind.com,建筑装饰,建筑装饰,3.36,121517.9311,1993-12-04 00:00:00 +0800 CST,刘桂林,深圳市南山区科技园科技路1号桑达科技大厦15-17楼,深圳市南山区科技园科技路1号桑达科技大厦15-17层,0755-86316073,sed@sedind.com
sz000034,神州数码,1994-05-09,IT产品分销及服务。,http://www.digitalchina.com,计算机,计算机,5.20,72499.1225,1982-06-01 00:00:00 +0800 CST,王冰峰,深圳市南山区沙河街道东方社区深湾二路82号神州数码国际创新中心东塔3801,北京市海淀区上地九街九号数码科技广场,010-82705411,dcg-ir@digitalchina.com
sz000035,中国天楹,1994-04-08,城市环境服务、废弃物处置与利用、环保装备制造。,https://www.cnty.cn/,环保,环保,3.90,238803.2769,1984-12-31 00:00:00 +0800 CST,严圣军,江苏省南通市海安市黄海大道(西)268号2幢,江苏省南通市海安市黄海大道(西)268号2幢,0513-80688810,tyhb@cnty.cn
sz000036,华联控股,1994-06-17,房地产开发及自有物业租赁管理业务。,http://www.udcgroup.com,房地产,房地产,2.60,140381.8725,1989-09-11 00:00:00 +0900 CDT,龚泽民,深圳市福田区华强北街道福强社区深南中路2008号华联大厦16层,深圳市福田区华强北街道福强社区深南中路2008号华联大厦16层,0755-83667306;0755-83668236,hlkg000036@udcgroup.com
sz000037,深南电A,1994-07-01,生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务。,http://www.nsrd.com.cn,公用事业,公用事业,4.00,60276.2596,1990-04-06 00:00:00 +0800 CST,孔国梁,广东省深圳市南山区月亮湾大道2097号,广东省深圳市南山区华侨城汉唐大厦16、17楼,0755-26003611,public@nspower.com.cn;investor@nspower.com.cn
sz000039,中集集团,1994-04-08,制造修理集装箱及其有关业务。,http://www.cimc.com,机械设备,机械设备,8.50,539252.0385,1980-01-14 00:00:00 +0800 CST,麦伯良,中国广东省深圳市南山区蛇口港湾大道2号中集集团研发中心8楼,中国广东省深圳市南山区蛇口港湾大道2号中集集团研发中心8楼,86-755-26691130,ir@cimc.com
sz000042,中洲控股,1994-09-21,地产开发、酒店经营、物业服务、商业管理等。,http://www.zztzkg.com/,房地产,房地产,10.80,66483.1139,1984-09-17 00:00:00 +0800 CST,贾帅,深圳市福田区福田街道岗厦社区金田路3088号中洲大厦3802,广东省深圳市福田区金田路3088号中洲大厦38楼,0755-88393609,dongshihui@zztzkg.com
sz000045,深纺织Ａ,1994-08-15,主要从事纺织服装、LCD用偏光片及其相关产品的生产与贸易。,http://www.chinasthc.com,电子,电子,3.90,50652.1849,1982-04-30 00:00:00 +0800 CST,李刚,深圳市前海深港合作区南山街道恒升街2号中国国有资本风投大厦A塔A1203,深圳市福田区华强北路3号深纺大厦A座六楼,0755-83776043,szfzjt@chinasthc.com
sz000048,京基智农,1994-11-01,"现代农业和房地产业,主要包括:种猪、肉猪养殖与销售;种鸡、肉鸡养殖与销售;饲料生产与销售;房地产开发、房地产租赁。",http://www.kingkeyzn.com/,农林牧渔,农林牧渔,4.80,53028.225,1979-01-01 00:00:00 +0800 CST,陈家荣,广东省深圳市罗湖区桂园街道老围社区蔡屋围京基一百大厦A座7101,广东省深圳市罗湖区桂园街道老围社区蔡屋围京基一百大厦A座7101,0755-25425020-6368,a000048@126.com
sz000049,德赛电池,1995-03-20,生产制造电源管理系统及各类锂电池。,http://www.desaybattery.com.cn,电力设备,电力设备,4.95,38463.8534,1985-09-04 00:00:00 +0800 CST,刘其,深圳市南山区高新科技园南区高新南一道德赛科技大厦东座26楼,深圳市南山区高新科技园南区高新南一道德赛科技大厦东座26楼,0755-86299888,IR@desaybattery.com
sz000050,深天马Ａ,1995-03-15,以智能手机、平板电脑为代表的移动智能终端显示核心业务、车载显示关键业务和以医疗、工控为代表的增值业务。,http://www.tianma.cn,电子,电子,4.50,245774.7661,1983-11-08 00:00:00 +0800 CST,成为,深圳市龙华区民治街道北站社区留仙大道天马大厦1918,深圳市龙华区民治街道北站社区天马总部大厦,0755-86225886,sztmzq@tianma.cn
sz000055,方大集团,1996-04-15,"建筑幕墙系统、地铁屏蔽门及相关软件,房地产业务。",http://www.fangda.com,建筑材料,建筑材料,5.18,107387.4227,1994-04-20 00:00:00 +0800 CST,熊建明,深圳市南山区粤海街道高新区社区科技南十二路011号方大大厦20层,深圳市南山区龙珠四路2号方大城T1栋39层,0755-26788571-6622,fd@fangda.com
sz000056,*ST皇庭,1996-07-08,"以商业不动产综合运营服务为主,以委托管理、整租、不动产投资合作等多种方式拓展商业不动产运营业务。",http://www.wongtee000056.com,房地产,房地产,4.78,118252.822,1985-01-19 00:00:00 +0800 CST,郑康豪,深圳市福田区福田街道岗厦社区福华路350号岗厦皇庭大厦28A01单元,深圳市福田区福田街道岗厦社区福华路350号岗厦皇庭大厦28A01单元,0755-82281888,htgj000056@163.com
sz000058,深 赛 格,1996-12-26,"主营业务包括以通信市场、电子专业市场为核心的电子市场流通业务,以物业经营及物业管理为核心的城市服务业务,以新能源和检验检测认证为代表的战略性新兴业务。",http://www.segcl.com.cn,商贸零售,商贸零售,6.80,123120.0672,1996-07-16 00:00:00 +0800 CST,柳青,深圳市福田区华强北路群星广场A座三十一楼,深圳市福田区华强北路群星广场A座三十一楼,0755-83747939,segcl@segcl.com.cn
sz000059,华锦股份,1997-01-30,由聚烯烃产品、油品、液化产品、尿素和精细化工产品构成。,http://www.huajinchem.com/col/col8756/index.html,石油石化,石油石化,5.38,159944.2537,1997-01-23 00:00:00 +0800 CST,许晓军,辽宁省盘锦市双台子区红旗大街,辽宁省盘锦市双台子区红旗大街,0427-5855742,huajincorp@163.com
sz000060,中金岭南,1997-01-23,主要从事铅锌等有色金属的采矿、选矿、冶炼、销售及有色金属贸易业务;铝型材、幕墙门窗、电池材料等业务。,http://www.nonfemet.com,有色金属,有色金属,8.00,444117.2458,1984-09-01 00:00:00 +0800 CST,喻鸿,广东深圳市罗湖区清水河街道清水河社区清水河一路112号深业进元大厦塔楼2座303C,深圳市福田区深南大道6013号中国有色大厦23-26楼,0755-82839363,zjln@nonfemet.com.cn
sz000061,农 产 品,1997-01-10,农产品批发市场的开发、建设、经营和管理。,http://www.szap.com,商贸零售,商贸零售,8.38,198496.1198,1989-01-14 00:00:00 +0800 CST,张磊,深圳市光明区马田街道根竹园社区公明南环大道1688号海吉星农产品光明物流园2栋8层,深圳市福田区深南大道7028号时代科技大厦13楼,0755-82589021,IR@szap.com
sz000062,深圳华强,1997-01-30,"面向电子信息产业链的现代高端服务业,为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、信息服务、数据服务和创新创业配套等服务,打造面向电子信息产业的国内一流线下、线上交易服务平台。",http://www.szhq000062.com,电子,电子,11.40,104590.9322,1994-01-19 00:00:00 +0800 CST,张泽宏,深圳市福田区梅林街道梅丰社区北环大道6018号华强科创广场1栋43层,深圳市福田区梅林街道梅丰社区北环大道6018号华强科创广场1栋43层,0755-83216296,szhqsygf@szhq.com
sz000063,中兴通讯,1997-11-18,"投资兴办实业,电子及通信设备零部件的销售。",http://www.zte.com.cn,通信,通信,6.81,478353.4887,1997-11-11 00:00:00 +0800 CST,徐子阳,中国广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,中国广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,0755-26770282,IR@zte.com.cn
sz000065,北方国际,1998-06-05,"国际工程承包、国内建筑工程和房地产业务,重型装备出口贸易、物流服务、物流自动化设备系统集成服务、太阳能产品贸易及新能源项目开发、金属包装容器的生产和销售等业务。",http://www.norinco-intl.com,建筑装饰,建筑装饰,3.98,116144.2159,1986-04-05 00:00:00 +0800 CST,马卫国,北京市丰台区南四环西路188号总部基地12区47号楼3层(301、302),北京市石景山区政达路6号院北方国际大厦,010-68137370,bfgj@norinco-intl.com
sz000066,中国长城,1997-06-26,网络安全与信息化、高新电子、电源、园区与物业服务及其他业务。,http://www.greatwall.com.cn/,计算机,计算机,6.58,322579.9088,1997-06-19 00:00:00 +0800 CST,戴湘桃,广东省深圳市南山区粤海街道科技园社区科发路3号中电长城大厦A-2401,深圳市南山区科技园中电长城大厦,0755-26634759,stock@greatwall.com.cn
sz000068,华控赛格,1997-06-11,受托资产管理、投资咨询、企业管理咨询、经济信息咨询(不含银行、证券、保险、基金等金融业务、人才中介服务及其他限制项目);市场营销策划;投资兴办实业(具体项目另行申报);国内贸易(不含专营、专控、专卖商品);货物及技术进出口业务。,http://www.huakongseg.com.cn,环保,环保,5.45,100667.1464,1997-06-06 00:00:00 +0800 CST,郎永强,深圳市坪山区大工业区兰竹大道以北CH3主厂房,深圳市福田区太平金融大厦29楼,0755-28339057,sz_hksg@163.com
sz000069,华侨城Ａ,1997-09-10,旅游综合、房地产和纸包装业务。,http://www.octholding.com,房地产,房地产,6.18,803775.8053,1997-09-02 00:00:00 +0800 CST,吴秉琪,深圳市南山区华侨城指挥部大楼103、105、107、111、112室,广东省深圳市南山区华侨城大厦,0755-26909069,000069IR@chinaoct.com
sz000070,特发信息,2000-05-11,"光纤、光缆、通信设备、电力电缆、电力通信光缆、金具及附件、无源光纤网络终端、无线路由器、IPTV机顶盒、分离器和智能路由器系列产品、军用航空通讯设备、数据记录仪和弹载计算机的研发、生产、销售,以及通信系统集成及技术服务。",http://www.sdgi.com.cn,通信,通信,7.90,86839.2949,1999-07-29 00:00:00 +0800 CST,李宝东,广东省深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼,深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼,0755-66833901,sdgi_dmc@sdgi.com.cn
sz000078,ST海王,1998-12-18,生物制品、生化制品、海洋药物、海洋生物制品、中成药的生产销售。,http://www.neptunusbio.com,医药生物,医药生物,5.36,263112.3257,1992-12-13 00:00:00 +0800 CST,张锋,深圳市南山区科技中三路1号海王银河科技大厦24层,深圳市南山区科技中三路1号海王银河科技大厦24层,0755-26980336,sz000078@vip.sina.com
sz000088,盐 田 港,1997-07-28,"港口投资开发与经营,码头建设工程管理,收费高速公路经营管理,海关监管仓和其他港口配套仓储经营。",http://www.yantian-port.com,交通运输,交通运输,5.31,519948.3346,1997-07-21 00:00:00 +0800 CST,李雨田,深圳市盐田区盐田港海港大厦十八层,深圳市盐田区盐田港海港大厦十八层,0755-25290180,yph000088@ytport.com
sz000089,深圳机场,1998-04-20,航空主业以及航空主业延伸出的非航空业务。,http://www.szairport.com,交通运输,交通运输,6.38,205076.9509,1998-04-10 00:00:00 +0800 CST,陈繁华,深圳市宝安区宝安机场T3商务区配套写字楼A栋,深圳市宝安区宝安机场T3商务区配套写字楼A栋,0755-23456331,szjc@szairport.com
sz000090,天健集团,1999-07-21,提供与房地产开发与经营、建筑施工、城市服务等三大产业上下游相关的产品和服务。,http://www.tagen.cn,房地产,房地产,8.00,186854.5434,1993-12-06 00:00:00 +0800 CST,郑晓生,广东深圳市福田区莲花街道紫荆社区红荔路7019号天健商务大厦19楼,深圳市福田区莲花街道紫荆社区红荔路7019号天健商务大厦16、17、18、19、20楼,0755-82555946,info@tagen.cn
sz000096,广聚能源,2000-07-24,"成品油批发零售及仓储、土地及物业租赁、化工贸易,以及证券投资、电力企业等股权投资。",http://www.gj000096.com,石油石化,石油石化,6.00,52800.00,1999-02-18 00:00:00 +0800 CST,林伟斌,深圳市南山区粤海街道海德三道199号天利中央商务广场A座22楼,深圳市南山区粤海街道海德三道199号天利中央商务广场A座22楼,0755-86000096,gjnygf@126.com
sz000099,中信海直,2000-07-31,海上石油、港口引航、陆上通航、通航维修、融资租赁等。,http://www.cohc.citic,交通运输,交通运输,10.20,77577.0137,1999-02-11 00:00:00 +0800 CST,张坚,深圳市罗湖区清水河街道清水河社区清水河一路112号罗湖投资控股大厦塔楼2座901,深圳市南山区南海大道3533号深圳直升机场,0755-26723146,ouyangmingzhi@cohc.citic
sz000100,TCL科技,2004-01-30,半导体显示产品及材料的研发、生产和销售及产业金融、投资及创投业务。,https://www.tcltech.com/,电子,电子,4.26,2080086.2447,1982-03-11 00:00:00 +0800 CST,王成,广东省惠州市仲恺高新区惠风三路17号TCL科技大厦,广东省惠州市仲恺高新区惠风三路17号TCL科技大厦,0755-33311666,ir@tcl.com
sz000151,中成股份,2000-09-06,成套设备出口和工程承包、环境科技、复合材料生产;工商业用户侧储能项目的投资、开发和运营。,http://www.complant-ltd.com,商贸零售,商贸零售,7.78,35090.6286,1999-03-01 00:00:00 +0800 CST,朱震敏,中国北京市丰台区南四环西路188号二区8号楼,中国北京市东城区安定门西滨河路9号,010-81163993,complant@gt.cn
sz000153,丰原药业,2000-09-20,医药制造和商业流通。,http://www.bbcayy.com,医药生物,医药生物,18.80,46468.5522,1997-08-30 00:00:00 +0800 CST,汝添乐,安徽省芜湖市无为市通江大道188号,安徽省合肥市包河区大连路16号,0551-64846153,xlyyzj@163.com
sz000155,川能动力,2000-09-26,"风力发电、光伏发电、垃圾发电等新能源发电业务,锂矿开采、锂盐加工等锂电储能业务,以及环卫一体化和环保设备销售业务。",http://www.cndl155.com/,公用事业,公用事业,6.18,184616.8342,1997-10-20 00:00:00 +0800 CST,张忠武,四川省成都市青白江区大弯镇团结路311号,四川省成都市武侯区剑南大道中段716号2号楼16楼,028-67175728,mail@cndl155.com
sz000156,华数传媒,2000-09-06,有线电视网络业务、全国范围内的新媒体业务、宽带网络及智慧城市业务等。,http://www.wasu.com,传媒,传媒,8.98,185293.2442,1994-06-30 00:00:00 +0800 CST,乔小燕,浙江省杭州市滨江区长江路179号B座9楼,浙江省杭州市滨江区长江路179号华数数字电视产业园B座9楼,0571-28327789,000156@wasu.com
sz000157,中联重科,2000-10-12,工程机械和农业机械的研发、制造、销售和服务。,http://www.zoomlion.com/,机械设备,机械设备,12.74,864853.5236,1999-08-31 00:00:00 +0800 CST,詹纯新,湖南省长沙市银盆南路361号,湖南省长沙市银盆南路361号,0731-85650157,157@zoomlion.com
sz000158,常山北明,2000-07-24,纯棉纱布和涤棉纱布的生产销售;自产产品和技术的进出口业务;棉花批发、零售;软件及计算机服务业务。,http://www.csbmkj.com/,计算机,计算机,6.18,159861.6721,1998-12-29 00:00:00 +0800 CST,张玮扬,河北省石家庄市长安区广安大街34号天利商务大厦九层,河北省石家庄市长安区广安大街34号天利商务大厦九层,0311-86255070,csdb@csbmkj.com
sz000159,国际实业,2000-09-26,"石油石化产品批发、销售、仓储、运输业务,原油炼化、生物柴油等加工业务;能源贸易业务;房地产开发营销;投资金融领域。",http://www.xjgjsy.com,电力设备,电力设备,5.88,48068.5993,1999-03-28 00:00:00 +0800 CST,汤小龙,新疆乌鲁木齐天山区人民路446号南门国际城A1底商住宅楼A1栋3层商铺1,新疆乌鲁木齐市新市区常州街189号国际实业三楼317号,0991-5854232,zqb@xjgjsy.com
sz000166,申万宏源,2015-01-26,金融投资、股权投资等。,http://www.swhygh.com,非银金融,非银金融,4.86,2503994.456,1996-09-16 00:00:00 +0800 CST,黄昊,新疆乌鲁木齐市高新区北京南路358号大成国际大厦20楼2001室,新疆乌鲁木齐市高新区北京南路358号大成国际大厦20楼;北京市西城区太平桥大街19号,0991-2301870;010-88085333,swhy@swhysc.com
sz000301,东方盛虹,2000-05-29,"民用涤纶长丝的研发、生产和销售,电力、热能、平台贸易。",http://www.jsessh.com,石油石化,石油石化,4.18,661123.0731,1998-07-16 00:00:00 +0800 CST,缪汉根,江苏省苏州市吴江区盛泽镇登州路289号,江苏省苏州市吴江区盛泽镇登州路289号国家先进功能纤维创新中心研发大楼西楼,0512-63573866,tzzgx@jsessh.com
sz000333,美的集团,2013-09-18,美的集团股份有限公司是一家主要从事家用电器的制造和销售的中国公司。该公司主要产品分为消费电器、暖通空调（HAVC）和机器人及自动化系统三类。该公司的产品主要包括中央空调、供暖及通风系统、厨房家电、冰箱、洗衣机和其他小家电，如饮水机、净水设备、空气净化器、电热水壶、吸尘器和加湿器。该公司还从事电机生产和物流业务。该公司的产品销往国内与海外市场。,http://www.midea.com,家用电器,家用电器,44.56,760825.8356,2000-04-07 00:00:00 +0800 CST,方洪波,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼,0757-22607708,IR@midea.com
sz000338,潍柴动力,2007-04-30,内燃机的研发、制造、销售及维修。,http://www.weichaipower.com,汽车,汽车,20.47,871239.7096,2002-12-23 00:00:00 +0800 CST,马常海,山东省潍坊市高新技术产业开发区福寿东街197号甲,山东省潍坊市高新技术产业开发区福寿东街197号甲,0536-2297068,weichai@weichai.com
sz000400,许继电气,1997-04-18,智能变配电、智能用电、直流输电控制保护、特种节能一次设备、工业及交通智能供用电等五大业务。,http://www.xjec.com/,电力设备,电力设备,9.24,101862.2249,1996-12-26 00:00:00 +0800 CST,季侃,河南省许昌市许继大道1298号,河南省许昌市许继大道1298号,0374-3213660,xjec@xj.cee-group.cn
sz000401,金隅冀东,1996-06-14,"生产和销售水泥熟料、各类硅酸盐水泥和与水泥相关的建材产品,同时涵盖砂石骨料、环保、矿粉、外加剂等产业(业务)。",http://www.jdsn.com.cn,建筑材料,建筑材料,5.38,265821.7235,1994-05-08 00:00:00 +0800 CST,刘宇,河北省唐山市丰润区林荫路,河北省唐山市丰润区林荫路233号,010-59512082,zqb@jdsn.com.cn
sz000402,金 融 街,1996-06-26,房地产开发和经营。,http://www.jrjkg.com.cn,房地产,房地产,3.68,298892.9907,1996-06-18 00:00:00 +0800 CST,杨扬,北京市西城区金城坊街7号,北京市西城区金城坊街7号,010-66573955;010-66573088,investors@jrjkg.com
sz000403,派林生物,1996-06-28,血液制品的研发、生产与销售。,http://www.plbio.cn,医药生物,医药生物,3.78,95039.7386,1995-05-22 00:00:00 +0800 CST,李昊,山西省太原市晋源区长兴南街8号阳光城环球金融中心3004室,上海市闵行区虹桥商务区申滨路168号丽宝广场TIB号楼3层,0759-2931218,ir@slbiop.com
sz000404,长虹华意,1996-06-19,冰箱压缩机、新能源汽车配件、家庭服务机器人行业。,http://www.hua-yi.cn,家用电器,家用电器,4.08,69599.5979,1996-06-13 00:00:00 +0800 CST,杨秀彪,江西省景德镇市高新区长虹路1号,江西省景德镇市高新区长虹路1号(高新开发区内),0798-8470237,hyzq@hua-yi.cn
sz000407,胜利股份,1996-07-03,"塑胶管道、生物技术、国内外贸易和化学农药,天然气终端应用服务。",http://www.vicome.com,公用事业,公用事业,6.00,88008.4656,1994-05-11 00:00:00 +0800 CST,许铁良,山东省济南市高新区港兴三路北段济南药谷1号楼B座32层,山东省济南市高新区港兴三路北段济南药谷1号楼B座32层-33层,0531-86920495;0531-88725687,sd000407@sina.com
sz000408,藏格矿业,1996-06-28,钾肥(氯化钾)的生产和销售。,http://www.zanggekuangye.com/,有色金属,有色金属,4.80,157022.5745,1996-06-25 00:00:00 +0800 CST,吴健辉,青海省格尔木市昆仑南路15-02号,青海省格尔木市昆仑南路15-02号,0979-8962706,zgjf000408@163.com
